Timecode List:,00:00:03.867,00:00:09.167,00:00:12.433,00:00:14.733,00:00:18.600
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,116,00:00:03.867,3.867,116,00:00:03.867,3.867
2,117,00:00:03.867,3.867,275,00:00:09.167,9.167,159,00:00:05.300,5.300
3,276,00:00:09.167,9.167,373,00:00:12.433,12.433,98,00:00:03.267,3.267
4,374,00:00:12.433,12.433,442,00:00:14.733,14.733,69,00:00:02.300,2.300
5,443,00:00:14.733,14.733,558,00:00:18.600,18.600,116,00:00:03.867,3.867
6,559,00:00:18.600,18.600,561,00:00:18.700,18.700,3,00:00:00.100,0.100
