Timecode List:,00:00:04.004,00:00:08.592,00:00:11.803,00:00:14.014
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,96,00:00:04.004,4.004,96,00:00:04.004,4.004
2,97,00:00:04.004,4.004,206,00:00:08.592,8.592,110,00:00:04.588,4.588
3,207,00:00:08.592,8.592,283,00:00:11.803,11.803,77,00:00:03.212,3.212
4,284,00:00:11.803,11.803,336,00:00:14.014,14.014,53,00:00:02.211,2.211
5,337,00:00:14.014,14.014,427,00:00:17.809,17.809,91,00:00:03.795,3.795
