Timecode List:,00:00:03.933,00:00:08.533,00:00:10.367,00:00:12.500,00:00:14.767
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,118,00:00:03.933,3.933,118,00:00:03.933,3.933
2,119,00:00:03.933,3.933,256,00:00:08.533,8.533,138,00:00:04.600,4.600
3,257,00:00:08.533,8.533,311,00:00:10.367,10.367,55,00:00:01.833,1.833
4,312,00:00:10.367,10.367,375,00:00:12.500,12.500,64,00:00:02.133,2.133
5,376,00:00:12.500,12.500,443,00:00:14.767,14.767,68,00:00:02.267,2.267
6,444,00:00:14.767,14.767,555,00:00:18.500,18.500,112,00:00:03.733,3.733
