Timecode List:,00:00:03.900,00:00:09.733,00:00:11.867,00:00:14.767,00:00:18.500
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,117,00:00:03.900,3.900,117,00:00:03.900,3.900
2,118,00:00:03.900,3.900,292,00:00:09.733,9.733,175,00:00:05.833,5.833
3,293,00:00:09.733,9.733,356,00:00:11.867,11.867,64,00:00:02.133,2.133
4,357,00:00:11.867,11.867,443,00:00:14.767,14.767,87,00:00:02.900,2.900
5,444,00:00:14.767,14.767,555,00:00:18.500,18.500,112,00:00:03.733,3.733
6,556,00:00:18.500,18.500,705,00:00:23.500,23.500,150,00:00:05.000,5.000
