Timecode List:,00:00:04.000,00:00:08.600,00:00:10.467,00:00:12.700,00:00:14.833
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,120,00:00:04.000,4.000,120,00:00:04.000,4.000
2,121,00:00:04.000,4.000,258,00:00:08.600,8.600,138,00:00:04.600,4.600
3,259,00:00:08.600,8.600,314,00:00:10.467,10.467,56,00:00:01.867,1.867
4,315,00:00:10.467,10.467,381,00:00:12.700,12.700,67,00:00:02.233,2.233
5,382,00:00:12.700,12.700,445,00:00:14.833,14.833,64,00:00:02.133,2.133
6,446,00:00:14.833,14.833,560,00:00:18.667,18.667,115,00:00:03.833,3.833
