Timecode List:,00:00:04.000,00:00:08.600,00:00:10.467,00:00:12.700,00:00:15.667,00:00:18.200
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,120,00:00:04.000,4.000,120,00:00:04.000,4.000
2,121,00:00:04.000,4.000,258,00:00:08.600,8.600,138,00:00:04.600,4.600
3,259,00:00:08.600,8.600,314,00:00:10.467,10.467,56,00:00:01.867,1.867
4,315,00:00:10.467,10.467,381,00:00:12.700,12.700,67,00:00:02.233,2.233
5,382,00:00:12.700,12.700,470,00:00:15.667,15.667,89,00:00:02.967,2.967
6,471,00:00:15.667,15.667,546,00:00:18.200,18.200,76,00:00:02.533,2.533
7,547,00:00:18.200,18.200,625,00:00:20.833,20.833,79,00:00:02.633,2.633
