Timecode List:,00:00:03.900,00:00:08.967,00:00:10.467,00:00:12.700,00:00:14.667
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,117,00:00:03.900,3.900,117,00:00:03.900,3.900
2,118,00:00:03.900,3.900,269,00:00:08.967,8.967,152,00:00:05.067,5.067
3,270,00:00:08.967,8.967,314,00:00:10.467,10.467,45,00:00:01.500,1.500
4,315,00:00:10.467,10.467,381,00:00:12.700,12.700,67,00:00:02.233,2.233
5,382,00:00:12.700,12.700,440,00:00:14.667,14.667,59,00:00:01.967,1.967
6,441,00:00:14.667,14.667,502,00:00:16.733,16.733,62,00:00:02.067,2.067
