Timecode List:,00:00:03.967,00:00:09.033,00:00:10.333,00:00:12.567,00:00:14.667
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,119,00:00:03.967,3.967,119,00:00:03.967,3.967
2,120,00:00:03.967,3.967,271,00:00:09.033,9.033,152,00:00:05.067,5.067
3,272,00:00:09.033,9.033,310,00:00:10.333,10.333,39,00:00:01.300,1.300
4,311,00:00:10.333,10.333,377,00:00:12.567,12.567,67,00:00:02.233,2.233
5,378,00:00:12.567,12.567,440,00:00:14.667,14.667,63,00:00:02.100,2.100
6,441,00:00:14.667,14.667,558,00:00:18.600,18.600,118,00:00:03.933,3.933
