Timecode List:,00:00:03.733,00:00:08.533,00:00:10.367,00:00:12.600,00:00:14.767
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,112,00:00:03.733,3.733,112,00:00:03.733,3.733
2,113,00:00:03.733,3.733,256,00:00:08.533,8.533,144,00:00:04.800,4.800
3,257,00:00:08.533,8.533,311,00:00:10.367,10.367,55,00:00:01.833,1.833
4,312,00:00:10.367,10.367,378,00:00:12.600,12.600,67,00:00:02.233,2.233
5,379,00:00:12.600,12.600,443,00:00:14.767,14.767,65,00:00:02.167,2.167
6,444,00:00:14.767,14.767,696,00:00:23.200,23.200,253,00:00:08.433,8.433
