Timecode List:,00:00:03.933,00:00:08.500,00:00:10.367,00:00:12.600,00:00:14.767
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,118,00:00:03.933,3.933,118,00:00:03.933,3.933
2,119,00:00:03.933,3.933,255,00:00:08.500,8.500,137,00:00:04.567,4.567
3,256,00:00:08.500,8.500,311,00:00:10.367,10.367,56,00:00:01.867,1.867
4,312,00:00:10.367,10.367,378,00:00:12.600,12.600,67,00:00:02.233,2.233
5,379,00:00:12.600,12.600,443,00:00:14.767,14.767,65,00:00:02.167,2.167
6,444,00:00:14.767,14.767,555,00:00:18.500,18.500,112,00:00:03.733,3.733
